,Name,City,Country,Arena,Capactity,Logo URL,Division,City,State,,,,,,,,,,,,,,,,,,,,
players,Willy,Hernangomez,C,24,210.82,240,3,73,1,2.5,0.694,4.4,0.539,0.7,0.385,2,25,3.3,33,1,70,88,0.3,0.3,83,,,,
players,Kemba,Walker,PG,28,185.42,172,3,70,2.6,5.5,0.845,11.6,0.494,8.9,0.356,0.6,100,3.8,66,5.9,85,76,1.2,0.4,98,HH,,,
players,Marvin,Williams,PF,32,205.74,237,3,73,0.6,1.1,0.767,3.6,0.5,5.1,0.367,1,19,4.4,39,1.2,75,64,0.9,0.8,87,,,,
players,Bismack,Biyombo,C,26,205.74,255,3,76,0.6,1.7,0.637,2.9,0.571,0,0,1.5,22,3.1,36,0.6,85,82,0.2,0.8,98,IH,,,
players,Cody,Zeller,C,26,213.36,240,3,79,1.3,2.9,0.787,6.6,0.57,0.4,0.273,2.2,21,4.6,43,2.1,75,82,0.8,0.8,84,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Otto,Porter,SF,25,203.2,198,4,73,1.2,1.7,0.813,6.9,0.504,4.6,0.406,1,25,4.6,57,2.1,70,85,1.5,0.6,90,PT,,,
players,Wendell,Carter,C,19,208.3,255,4,74,1.5,2.5,0.795,7.7,0.513,0.7,0.188,2,51,5,38,1.8,43,88,0.6,1.3,71,R,,,
players,Zach,LaVine,SG,23,195.58,189,4,52,3.4,5,0.832,12.4,0.504,5.5,0.374,0.6,100,4,87,4.5,80,91,1,0.4,75,SP,,,
players,Cristiano,Felicio,C,26,205.74,275,4,73,0.6,1.2,0.685,2.9,0.543,0.1,0,1.3,19,2.3,30,0.6,70,82,0.2,0.1,83,,,,
players,Timothe,Luwawu-Cabarrot,SF,23,198.12,205,4,67,0.6,1.2,0.771,2.8,0.469,3.2,0.33,0.2,18,2.5,36,0.8,70,91,0.5,0.2,69,,,,
players,Kris,Dunn,PG,24,193.04,210,4,76,2.3,2.5,0.797,8.9,0.441,2.1,0.354,0.4,19,3.7,60,6,70,88,1.5,0.5,85,,,,
players,Robin,Lopez,C,30,213.36,255,4,70,1.3,1.7,0.724,6.8,0.589,0.4,0.226,1.9,23,2,30,1.2,75,70,0.1,1.1,80,,,,
players,Lauri,Markkanen,PF,21,213.36,225,4,65,1.6,3.8,0.872,8.9,0.479,6.4,0.362,1.4,55,7.6,35,1.4,70,97,0.7,0.6,90,,,,
players,Wayne ,Selden,SG,24,196,230,4,64,1.3,1.5,0.714,4.9,0.455,2.6,0.325,0.5,25,2.7,50,1.7,70,79,0.5,0.2,88,,,,
players,Chandler,Hutchison,SF,22,201,197,4,66,0.6,0.9,0.605,3.6,0.516,1.1,0.28,0.7,17,3.5,31,0.8,75,91,0.5,0.1,63,R,,,
players,Antonio,Blakeney,SG,22,193,192,4,50,0.6,1.3,0.658,5.4,0.426,1.6,0.396,0.1,67,1.7,37,0.7,25,64,0.2,0.2,70,,,,
players,Denzel,Valentine,SG,24,198.12,212,4,73,1.3,0.7,0.745,4.6,0.45,4.8,0.386,0.6,18,4.5,40,3.2,70,85,0.8,0.1,56,,,,
players,Ryan,Arcidiacono,PG,24,192,200,4,64,0.8,1.3,0.873,2.5,0.527,2.7,0.373,0.3,11,3.4,60,3.3,85,49,0.8,0,60,,,,
players,Walt ,Lemon Jr.,PG,26,190,180,4,68,1.3,1.3,0.714,8.8,0.433,0.5,0.5,0.4,17,2.3,59,3.2,70,88,1,0.2,50,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Larry,Nance Jr,C,26,206.1,230,5,75,1.4,2,0.716,5.7,0.567,1.5,0.335,2.5,28,5.7,40,3.2,60,71,1.5,0.6,60,,,,
players,Channing,Frye,C,35,210.82,255,5,59,0.7,1,0.818,1.1,0.289,2.2,0.405,0.1,61,1.3,32,0.6,70,55,0.4,0.5,85,EX,,,
Rookies,Collin,Sexton,PG,20,188.5,185,5,51,2.3,3.1,0.839,11.1,0.44,3.6,0.402,0.7,30.5,2.2,91,3,58,84,0.5,0.1,83,R,,,
players,Jordan,Clarkson,SG,26,197.6,185,5,60,1.7,2.4,0.844,9.1,0.524,5.5,0.324,1,65,2.3,89,2.4,66,72,0.7,0.2,83,SP,,,
players,Nik,Stauskas,SG,25,198.12,205,5,64,0.5,1.2,0.893,1.9,0.283,2.6,0.429,0.3,21,1.6,43,0.8,70,78,0.3,0.1,80,,,,
players,Ante,Zizic,C,22,212.6,240,5,67,1,2.2,0.705,5.6,0.553,0,0,1.8,11,3.6,42,0.9,50,66.2,0.2,0.4,54,,,,
players,John,Henson,C,28,210.82,229,5,76,1,2.1,0.713,5.5,0.512,2.2,0.355,1.5,23,3.8,29,1.1,70,76,0.5,1.3,93,,,,
players,Brandon,Knight,PG,27,190.5,189,5,52,0.9,0.9,0.783,4.3,0.448,3.6,0.371,0.3,17,1.5,58,2.3,72,79,0.7,0.1,70,,,,
players,Kevin,Love,PF,30,208.28,251,5,65,1.9,5.2,0.904,6.2,0.412,6.7,0.361,1.5,100,9.4,42,2.2,80,70,0.3,0.2,87,PT,,,
players,Jaron,Blossomgame,SF,25,205.5,220,5,67,0.4,0.5,0.769,2.5,0.552,1.4,0.255,1,18,2.7,52,0.5,92,53,0.3,0.3,52,,,,
players,Matthew,Dellavedova,PG,28,193.04,198,5,55,1.6,1.3,0.792,2.9,0.5,3.3,0.336,0.2,39,1.7,48,4.2,70,76,0.3,0.1,89,HH,,,
players,J.R.,Smith,SG,33,198.12,225,5,67,0.7,0.4,0.778,2.2,0.261,6.6,0.362,0.4,100,1.8,46,1.2,20,61,1.2,0.4,45,EX,,,
